phase,station,window,lead,n_val,obs_rate,n_blocks,min_block,median_block,val_brier_raw,val_brier_pav,val_delta,brier_raw,brier_pav,delta_pav_minus_raw,pav_helps,pav_hurts
3j,bellever_dartmoor,4,72,123,0.6341463414634146,6,4,12,0.1324588319512195,0.09106543862641424,-0.04139339332480525,0.1674686344374999,0.1550922912631802,-0.0123763431743197,True,False
3n,bellever_dartmoor,4,72,123,0.6341463414634146,6,4,11,0.13389726048780487,0.09109711426784599,-0.04280014621995888,0.1683004826041667,0.154574785050653,-0.0137256975535136,True,False
3g,bellever_dartmoor,6,72,123,0.5040650406504065,8,4,14,0.10488882739837398,0.0806635491166942,-0.02422527828167978,0.13108268375,0.1404130620967154,0.0093303783467154,False,True
3j,bellever_dartmoor,6,72,123,0.5040650406504065,7,8,14,0.11596533853658536,0.07902504000064975,-0.03694029853593561,0.1426000736458333,0.1431179461894318,0.0005178725435985,False,True
3n,bellever_dartmoor,6,72,123,0.5040650406504065,8,3,14,0.11240543382113821,0.08013996843265138,-0.03226546538848683,0.14024928725,0.1427980265535978,0.0025487393035978,False,True
3g,bovey_tracey,3,72,120,0.85,7,3,9,0.11664854408333332,0.0787773569023569,-0.037871187180976415,0.0769902055172413,0.0848434792713473,0.007853273754106,False,True
3j,bovey_tracey,3,72,120,0.85,6,2,15,0.1012588125,0.07699220713926597,-0.024266605360734037,0.0765506819612068,0.0852268238459364,0.0086761418847295,False,True
3n,bovey_tracey,3,72,120,0.85,7,2,11,0.10209812608333332,0.07767255892255892,-0.024425567160774403,0.07561746625,0.0856779802486639,0.0100605139986638,False,True
3g,bovey_tracey,4,72,120,0.775,8,3,6,0.11601365641666668,0.09273809523809524,-0.023275561178571436,0.1199585786206896,0.1091974857875536,-0.010761092833136,True,False
3j,bovey_tracey,4,72,120,0.775,7,4,12,0.10525895433333332,0.08958333333333333,-0.015675620999999987,0.1137688267672413,0.1078268930087135,-0.0059419337585278,True,False
3n,bovey_tracey,4,72,120,0.775,8,4,7,0.1060700595,0.0903373015873016,-0.01573275791269839,0.1145553856896551,0.1074152229297462,-0.0071401627599089,True,False
3g,bovey_tracey,6,72,120,0.65,8,3,9,0.10709347425000001,0.0880050505050505,-0.019088423744949512,0.1327132293965517,0.1369378447392485,0.0042246153426967,False,True
3j,bovey_tracey,6,72,120,0.65,6,10,11,0.11012948416666667,0.08525641025641024,-0.02487307391025642,0.1562969125431034,0.1372476903556609,-0.0190492221874425,True,False
3n,bovey_tracey,6,72,120,0.65,7,3,11,0.10733648233333333,0.08456196581196582,-0.022774516521367513,0.1532931964870689,0.1377013861647915,-0.0155918103222774,True,False
3g,dartmoor_nr_hexworthy,3,72,124,0.6935483870967742,6,5,9,0.13719567120967743,0.10100624818366753,-0.0361894230260099,0.1579505125,0.1641049592589736,0.0061544467589735,False,True
3j,dartmoor_nr_hexworthy,3,72,124,0.6935483870967742,5,5,16,0.13636484629032256,0.1000848896434635,-0.036279956646859055,0.1467304045833333,0.1606499029171833,0.01391949833385,False,True
3n,dartmoor_nr_hexworthy,3,72,124,0.6935483870967742,6,5,9,0.13708516475806454,0.10073743097936647,-0.03634773377869807,0.14705555625,0.1609188578001571,0.0138633015501571,False,True
3g,dartmoor_nr_hexworthy,4,72,124,0.6048387096774194,8,4,10,0.14248244782258065,0.11091727583663065,-0.031565171985950005,0.1670388779166667,0.1865061546772482,0.0194672767605815,False,True
3j,dartmoor_nr_hexworthy,4,72,124,0.6048387096774194,7,6,15,0.13774576854838708,0.11001290664478519,-0.027732861903601885,0.1621565441666667,0.1833110629693868,0.0211545188027201,False,True
3n,dartmoor_nr_hexworthy,4,72,124,0.6048387096774194,8,5,10,0.13813412854838708,0.1113981189532972,-0.026736009595089885,0.1622781828333333,0.1847796894063376,0.0225015065730043,False,True
3g,dartmoor_nr_hexworthy,6,72,124,0.4596774193548387,7,1,13,0.1731732249193548,0.11003210261103194,-0.06314112230832286,0.18476853925,0.2354636442383594,0.0506951049883593,False,True
3j,dartmoor_nr_hexworthy,6,72,124,0.4596774193548387,10,2,11,0.13846231387096777,0.11099920139982576,-0.027463112471142012,0.1928193562291666,0.2302418879199321,0.0374225316907654,False,True
3n,dartmoor_nr_hexworthy,6,72,124,0.4596774193548387,10,2,11,0.13778332016129033,0.10960493034829664,-0.028178389812993684,0.1915772644791666,0.2322464071420849,0.0406691426629182,False,True
